PuzzleID,FEN,Moves,Rating,Popularity,Themes,Opening,Display Theme,Tags
scholar's mate,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4 e5 Bc4 d6 Qf3 c5 Qxf7#,,,,,theme-paper-sand,OCP::mate OCP::mateIn1 OCP::scholarsMate
Scholar's Mate,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e4 e5 Bc4 Nc6 Qh5 g6 Qf3 Nf6,,,,,theme-paper-sand,OCP::mate OCP::mateIn1 OCP::scholarsMate
Scholar's Mate,r1bqkb1r/pppp1ppp/2n2n2/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 4,Qxf7#,,,,,theme-paper-sand,OCP::mate OCP::mateIn1 OCP::scholarsMate
Game blunder,r2q1bnr/pp1k4/2pp2B1/3Np2p/3nP1p1/8/PPP2PPP/R1BQ1RK1 w - - 2 15,c3 Nf3 gxf3,,,game-blunder game-mistake,,,OCP::game-blunder OCP::game-mistake
