PuzzleID,FEN,Moves,Rating,Popularity,Themes,Opening,Display Theme,Tags
opening_00020 Italian Classical,r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,Nbd2,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00021 Fried Liver Attack,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00022 Fried Liver Attack,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00023 Fried Liver Attack,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00024 Fried Liver Attack,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Nc6,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00025 Fried Liver Attack,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Bc4,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00026 Fried Liver Attack,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Nf6,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00027 Fried Liver Attack,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,Ng5,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00028 Fried Liver Attack,r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4,d5,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00029 Fried Liver Attack,r1bqkb1r/ppp2ppp/2n2n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5,exd5,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
